,ยี่ห้อ-รุ่น,ยี่ห้อ,ประเภท,เชื้อเพลิง,ขนาดเครื่องยนต์,รุ่นเครื่องยนต์,ระบบขับเคลื่อน,ระบบเกียร์
0,Ford Everest 2.0 Turbo Trend 4x2 AT เอเวอเรสต์ ปี 2022,Ford,รถอเนกประสงค์ SUV (7 ที่นั่ง),"ดีเซล, ไบโอดีเซล B5","1,996 cc. 170 แรงม้า(PS)",ดีเซล 2.0 ลิตร 4 สูบแถวเรียง 16 วาล์ว เทอร์โบชาร์จเจอร์พร้อมอินเตอร์คูลเลอร์...,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 6AT
1,Ford Everest 2.0L Bi-Turbo Titanium+ 4x2 10AT เอเวอเรสต์ ปี 2022,Ford,รถอเนกประสงค์ SUV (7 ที่นั่ง),"ดีเซล, ไบโอดีเซล B5","1,996 cc. 210 แรงม้า(PS)",ดีเซล 2.0 ลิตร 4 สูบแถวเรียง 16 วาล์ว เทอร์โบชาร์จเจอร์พร้อมอินเตอร์คูลเลอร์...,ขับเคลื่อนล้อหลัง,เกียร์อัตโนมัติ 10AT (แบบ Electronic Shifter)
2,Volvo V60 Recharge Plug-in Hybrid Inscription วี60 ปี 2022,Volvo,"รถเก๋งแวน/เอสเตท, รถไฮบริด (Plug-in Hybrid)","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,969 cc. 460 แรงม้า(HP)","เครื่องยนต์เบนซินขนาด 2.0 ลิตร 1,969 ซีซี. 4 สูบ รหัส B4204T35 Turbocharged กำลังสูงสุด 317 แรงม้...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (พร้อม Geartronic)
3,Volvo V60 Recharge Plug-in Hybrid R-Design Expression วี60 ปี 2022,Volvo,"รถเก๋งแวน/เอสเตท, รถไฮบริด (Plug-in Hybrid)","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,969 cc. 460 แรงม้า(HP)","เครื่องยนต์เบนซินขนาด 2.0 ลิตร 1,969 ซีซี. 4 สูบ รหัส B4204T35 Turbocharged กำลังสูงสุด 317 แรงม้...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (พร้อม Geartronic)
4,Volvo S60 Recharge Plug-in Hybrid Inscription Expression เอส60 ปี 2022,Volvo,"รถเก๋ง 4 ประตู, รถไฮบริด (Plug-in Hybrid)","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,969 cc. 460 แรงม้า(HP)","เครื่องยนต์เบนซินขนาด 2.0 ลิตร 1,969 ซีซี. 4 สูบ รหัส B4204T35 Turbocharged กำลังสูงสุด 317 แรงม้...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (พร้อม Geartronic)
5,Volvo S60 Recharge Plug-in Hybrid R-Design เอส60 ปี 2022,Volvo,"รถเก๋ง 4 ประตู, รถไฮบริด (Plug-in Hybrid)","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,969 cc. 460 แรงม้า(HP)","เครื่องยนต์เบนซินขนาด 2.0 ลิตร 1,969 ซีซี. 4 สูบ รหัส B4204T35 Turbocharged กำลังสูงสุด 317 แรงม้...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (พร้อม Geartronic)
6,Audi RS 3 Sportback quqttro  ปี 2022,Audi,"รถเก๋ง 5 ประตู, Sport Coupe",เบนซิน 95,"2,480 cc. 400 แรงม้า(HP)",เครื่่�องยนต์์เบนซิิน 5 สููบแถวเรีียง พร้้อมระบบจ่่ายน้้ำมัันเชื้้อเพลิิงแบบฉีีดตรง (direct injectio...,ขับเคลื่อนสี่ล้อ,เกียร์ออโต้ 7AT (S tronic)
7,BMW M5 Competition  ปี 2022,BMW,"รถเก๋ง 4 ประตู, รถเก๋งซูเปอร์คาร์",เบนซิน 95,"4,395 cc. 625 แรงม้า(HP)",เครื่องยนต์เบนซิน 8 สูบ เทคโนโลยี BMW M TwinPower Turbo...,ขับเคลื่อนสี่ล้อ Full Time (M xDrive),เกียร์ออโต้ M Steptronic 8 จังหวะ (พร้อมระบบ Drivelogic)
8,Nissan KICKS 1.2 AUTECH  ปี 2022,Nissan,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,198 cc. 82 แรงม้า(HP)",อี-เพาเวอร์ (e-POWER) ติดตั้งเครื่องยนต์สันดาปภายในขนาดเล็ก ๆ รหัส HR12DE ขนาดความจุ 1.2 ลิตร กำลังส...,ขับเคลื่อนล้อหน้า,1 จังหวะ (Single Speed Gear Reduction)
9,Nissan KICKS 1.2L VL  ปี 2022,Nissan,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,198 cc. 82 แรงม้า(HP)",อี-เพาเวอร์ (e-POWER) ติดตั้งเครื่องยนต์สันดาปภายในขนาดเล็ก ๆ รหัส HR12DE ขนาดความจุ 1.2 ลิตร กำลังส...,ขับเคลื่อนล้อหน้า,1 จังหวะ (Single Speed Gear Reduction)
10,Nissan KICKS 1.2L V  ปี 2022,Nissan,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,198 cc. 82 แรงม้า(HP)",อี-เพาเวอร์ (e-POWER) ติดตั้งเครื่องยนต์สันดาปภายในขนาดเล็ก ๆ รหัส HR12DE ขนาดความจุ 1.2 ลิตร กำลังส...,ขับเคลื่อนล้อหน้า,1 จังหวะ (Single Speed Gear Reduction)
11,Nissan KICKS 1.2L E  ปี 2022,Nissan,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,198 cc. 82 แรงม้า(HP)",อี-เพาเวอร์ (e-POWER) ติดตั้งเครื่องยนต์สันดาปภายในขนาดเล็ก ๆ รหัส HR12DE ขนาดความจุ 1.2 ลิตร กำลังส...,ขับเคลื่อนล้อหน้า,1 จังหวะ (Single Speed Gear Reduction)
12,Suzuki Swift GL PLUS สวิฟท์ ปี 2022,Suzuki,"รถเก๋ง 5 ประตู, Eco Car - รถอีโคคาร์","เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,197 cc. 83 แรงม้า(PS)","K12M, DUALJET 4 สูบ DOHC 16 วาล์ว",ขับเคลื่อนล้อหน้า,เกียร์อัตโนมัติ (แบบ CVT)
13,Maserati Levante Hybrid เลอวานเต้ ปี 2022,Maserati,"รถไฮบริด, รถอเนกประสงค์ SUV",เบนซิน 95,"1,995 cc. 330 แรงม้า(HP)",L4 Mild Hybrid with eBooster and 48V BSG,Continuous all-wheel drive,เกียร์ออโต้ 8AT
14,ORA Good Cat GT  ปี 2022,ORA,"รถเก๋ง 5 ประตู, Electric - EV",ไฟฟ้า (ความจุ 63.139 kWh),171 แรงม้า(HP),ขับเคลื่อนด้วยมอเตอร์ไฟฟ้าแบบ Permanent Magnet Synchronous Motor แบตเตอรี่ชนิดลิเธียม Ternary (NMC) ...,ขับเคลื่อนล้อหน้า,1 จังหวะ
15,Peugeot 2008 Sport Edition  ปี 2022,Peugeot,รถอเนกประสงค์ SUV,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,199 cc. 130 แรงม้า(PS)",เบนซิน Puretech 3 สูบ,ขับเคลื่อนล้อหน้า,เกียร์อัตโนมัติ
16,Lamborghini Huracan Tecnica ฮูราคัน ปี 2022,Lamborghini,รถเก๋งซูเปอร์คาร์,เบนซิน 95,"5,204 cc. 630 แรงม้า(HP)","V10 5.2L แบบ NA มอบกำลังสูงถึง 640 แรงม้าและแรงบิด 565 นิวตันเมตรที่ 6,500 รอบต่อนาที...",ขับเคลื่อนล้อหลัง,"เกียร์ออโต้ 7AT (LDF dual-clutch transmission, shift characteristics variable via ANIMA)"
17,Nissan Navara Double Cab PRO-4X 4WD 7AT นาวาร่า ปี 2022,Nissan,รถกระบะ 4 ประตู,"ดีเซล, B7, B10, B20","2,298 cc. 190 แรงม้า(HP)",เครื่องยนต์ YS23DDTT เครื่องยนต์ดีเซล 4 สูบ แถวเรียง 16 วาล์ว เทอร์โบคู่แปรผัน (VGS) อินเตอร์คูลเลอร...,ขับเคลื่อนสี่ล้อ Part Time (พร้อม Shift-on-the-fly),เกียร์ออโต้ 7AT
18,Nissan Navara Double Cab PRO-2X 2WD 7AT นาวาร่า ปี 2022,Nissan,รถกระบะ 4 ประตู,"ดีเซล, B7, B10, B20","2,298 cc. 190 แรงม้า(HP)",เครื่องยนต์ YS23DDTT เครื่องยนต์ดีเซล 4 สูบ แถวเรียง 16 วาล์ว เทอร์โบคู่แปรผัน (VGS) อินเตอร์คูลเลอร...,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 7AT
19,Nissan Navara Double Cab CALIBRE E 7AT Black Edition นาวาร่า ปี 2022,Nissan,รถกระบะ 4 ประตู,"ดีเซล, ไบโอดีเซล B5, ไบโอดีเซล B20","2,298 cc. 190 แรงม้า(PS)","YS23DDTT, 4 สูบแถวเรียง DOHC 16 วาล์ว เทอร์โบแปรผัน VGS อินเตอร์คูลเลอร์...",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 7AT
20,Nissan Navara Double Cab CALIBRE E 7AT นาวาร่า ปี 2022,Nissan,รถกระบะ 4 ประตู,"ดีเซล, ไบโอดีเซล B5, ไบโอดีเซล B20","2,298 cc. 190 แรงม้า(PS)","YS23DDTT, 4 สูบแถวเรียง DOHC 16 วาล์ว เทอร์โบแปรผัน VGS อินเตอร์คูลเลอร์...",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 7AT
21,Nissan Navara Double Cab CALIBRE E 6MT Black Edition นาวาร่า ปี 2022,Nissan,รถกระบะ 4 ประตู,"ดีเซล, ไบโอดีเซล B5, ไบโอดีเซล B20","2,298 cc. 163 แรงม้า(PS)","YS23DDT, 4 สูบแถวเรียง DOHC 16 วาล์ว เทอร์โบแปรผัน VGS อินเตอร์คูลเลอร์...",ขับเคลื่อนล้อหลัง,เกียร์ธรรมดา 6MT
22,Nissan Navara Double Cab CALIBRE E 6MT นาวาร่า ปี 2022,Nissan,รถกระบะ 4 ประตู,"ดีเซล, ไบโอดีเซล B5, ไบโอดีเซล B20","2,298 cc. 163 แรงม้า(PS)","YS23DDT, 4 สูบแถวเรียง DOHC 16 วาล์ว เทอร์โบแปรผัน VGS อินเตอร์คูลเลอร์...",ขับเคลื่อนล้อหลัง,เกียร์ธรรมดา 6MT
23,Nissan Navara King Cab CALIBRE V 7AT นาวาร่า ปี 2022,Nissan,รถกระบะ 2 ประตู (แค็บ),"ดีเซล, ไบโอดีเซล B5, ไบโอดีเซล B20","2,298 cc. 190 แรงม้า(PS)","YS23DDTT, 4 สูบแถวเรียง DOHC 16 วาล์ว เทอร์โบแปรผัน VGS อินเตอร์คูลเลอร์...",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 7AT
24,Nissan Navara King Cab CALIBRE E 7AT Black Edition นาวาร่า ปี 2022,Nissan,รถกระบะ 2 ประตู (แค็บ),"ดีเซล, ไบโอดีเซล B5, ไบโอดีเซล B20","2,298 cc. 190 แรงม้า(PS)","YS23DDTT, 4 สูบแถวเรียง DOHC 16 วาล์ว เทอร์โบแปรผัน VGS อินเตอร์คูลเลอร์...",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 7AT
25,Nissan Navara King Cab CALIBRE E 7AT นาวาร่า ปี 2022,Nissan,รถกระบะ 2 ประตู (แค็บ),"ดีเซล, ไบโอดีเซล B5, ไบโอดีเซล B20","2,298 cc. 190 แรงม้า(PS)","YS23DDTT, 4 สูบแถวเรียง DOHC 16 วาล์ว เทอร์โบแปรผัน VGS อินเตอร์คูลเลอร์...",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 7AT
26,Nissan Navara King Cab CALIBRE E 6MT Black Edition นาวาร่า ปี 2022,Nissan,รถกระบะ 2 ประตู (แค็บ),"ดีเซล, ไบโอดีเซล B5, ไบโอดีเซล B20","2,298 cc. 163 แรงม้า(PS)","YS23DDT, 4 สูบแถวเรียง DOHC 16 วาล์ว เทอร์โบแปรผัน VGS อินเตอร์คูลเลอร์...",ขับเคลื่อนล้อหลัง,เกียร์ธรรมดา 6MT
27,Nissan Navara King Cab CALIBRE E 6MT นาวาร่า ปี 2022,Nissan,รถกระบะ 2 ประตู (แค็บ),"ดีเซล, ไบโอดีเซล B5, ไบโอดีเซล B20","2,298 cc. 163 แรงม้า(PS)","YS23DDT, 4 สูบแถวเรียง DOHC 16 วาล์ว เทอร์โบแปรผัน VGS อินเตอร์คูลเลอร์...",ขับเคลื่อนล้อหลัง,เกียร์ธรรมดา 6MT
28,Nissan Navara King Cab E 6MT นาวาร่า ปี 2022,Nissan,รถกระบะ 2 ประตู (แค็บ),"ดีเซล, ไบโอดีเซล B5, ไบโอดีเซล B20","2,488 cc. 163 แรงม้า(PS)","YD25DDTi, 4 สูบแถวเรียง DOHC 16 วาล์ว เทอร์โบแปรผัน VGS อินเตอร์คูลเลอร์...",ขับเคลื่อนล้อหลัง,เกียร์ธรรมดา 6MT
29,Nissan Navara King Cab SL 6MT นาวาร่า ปี 2022,Nissan,รถกระบะ 2 ประตู (แค็บ),"ดีเซล, ไบโอดีเซล B5, ไบโอดีเซล B20","2,488 cc. 163 แรงม้า(PS)","YD25DDTi, 4 สูบแถวเรียง DOHC 16 วาล์ว เทอร์โบแปรผัน VGS อินเตอร์คูลเลอร์...",ขับเคลื่อนล้อหลัง,เกียร์ธรรมดา 6MT
30,Nissan Navara Single Cab SL 6MT 4WD นาวาร่า ปี 2022,Nissan,รถกระบะ 2 ประตู (ตอนเดียว),"ดีเซล, ไบโอดีเซล B5, B7, B10, B20","2,488 cc. 163 แรงม้า(PS)","YD25DDTi, 4 สูบแถวเรียง DOHC 16 วาล์ว เทอร์โบแปรผัน VGS อินเตอร์คูลเลอร์กำลังสูงสุด 163 แรงม้า (P...",ขับเคลื่อนสี่ล้อ Part Time (Shift On The Fly),เกียร์ธรรมดา 6MT
